id,name,partOf,locationType
HOLY_TRINITY,Holy Trinity Civil Registry,Location/ATG-BARBUDA-HOLY_TRINITY,CRVS_OFFICE
SAINT_GEORGE,Saint George Civil Registry,Location/ATG-ANTIGUA-SAINT_GEORGE,CRVS_OFFICE
SAINT_JOHN,Saint John Civil Registry,Location/ATG-ANTIGUA-SAINT_JOHN,CRVS_OFFICE
SAINT_MARY,Saint Mary Civil Registry,Location/ATG-ANTIGUA-SAINT_MARY,CRVS_OFFICE
SAINT_PAUL,Saint Paul Civil Registry,Location/ATG-ANTIGUA-SAINT_PAUL,CRVS_OFFICE
SAINT_PETER,Saint Peter Civil Registry,Location/ATG-ANTIGUA-SAINT_PETER,CRVS_OFFICE
SAINT_PHILIP,Saint Philip Civil Registry,Location/ATG-ANTIGUA-SAINT_PHILIP,CRVS_OFFICE
